record_id,ledger_scope,scientific_use,included_in_scientific_results,status,fold,seed,method_id,family,mode,best_calibration_BA,reason,execution_server_artifact,outer_test_used,best_epoch,best_calibration_macro_f1,best_calibration_CE,epochs_executed,parameter_count,checkpoint,elapsed_seconds,train_rows,calibration_rows,outcome_loader_constructed_during_training,event_id,phase
FULL_SCIENCE|fold=0|seed=0|method=A0_TASK_ONLY_EEGNET,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,A0_TASK_ONLY_EEGNET,A,full,0.6699999999999999,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A0_TASK_ONLY_EEGNET.pt,False,17.0,0.6688077077478924,0.6199932710863273,20.0,40142.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A0_TASK_ONLY_EEGNET.pt,33.87887191772461,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=A1_SUBJECT_GRL_EEGNET_L0050,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,A1_SUBJECT_GRL_EEGNET_L0050,A,full,0.6683333333333333,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L0050.pt,False,6.0,0.668332412034478,0.6258038052754762,11.0,40142.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L0050.pt,18.8970594406128,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=A1_SUBJECT_GRL_EEGNET_L0100,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,A1_SUBJECT_GRL_EEGNET_L0100,A,full,0.6716666666666666,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L0100.pt,False,12.0,0.6677675497154101,0.6270235275593918,17.0,40142.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L0100.pt,28.449207544326782,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=A1_SUBJECT_GRL_EEGNET_L0300,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,A1_SUBJECT_GRL_EEGNET_L0300,A,full,0.6983333333333333,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L0300.pt,False,19.0,0.6983324953680428,0.5918265319534788,20.0,40142.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L0300.pt,34.81497836112976,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=A1_SUBJECT_GRL_EEGNET_L1000,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,A1_SUBJECT_GRL_EEGNET_L1000,A,full,0.6716666666666666,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L1000.pt,False,20.0,0.6715927750410509,0.6121730917445191,20.0,40142.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\A1_SUBJECT_GRL_EEGNET_L1000.pt,34.557656049728394,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=B0_EEG_DG_TASK_ONLY,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,B0_EEG_DG_TASK_ONLY,B,full,0.7266666666666667,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\B0_EEG_DG_TASK_ONLY.pt,False,15.0,0.7261524418073939,0.575162570392209,22.0,380446.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\B0_EEG_DG_TASK_ONLY.pt,93.89534425735474,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=B1_EEG_DG_FULL,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,B1_EEG_DG_FULL,B,full,0.6183333333333334,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\B1_EEG_DG_FULL.pt,False,6.0,0.6032467926228159,0.6569016378054985,13.0,380446.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\B1_EEG_DG_FULL.pt,58.81563448905945,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=C0_SCLDGN_TASK_ONLY,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,C0_SCLDGN_TASK_ONLY,C,full,0.7383333333333333,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\C0_SCLDGN_TASK_ONLY.pt,False,7.0,0.7383267915031209,0.5533918275460555,12.0,79349.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\C0_SCLDGN_TASK_ONLY.pt,19.573988437652588,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=0|method=C1_SCLDGN_FULL,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,0,C1_SCLDGN_FULL,C,full,0.7616666666666667,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\C1_SCLDGN_FULL.pt,False,8.0,0.7616660046277905,0.5192462001859955,13.0,79349.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-0\C1_SCLDGN_FULL.pt,49.855244874954224,5600.0,600.0,False,,
FULL_SCIENCE|fold=0|seed=1|method=A0_TASK_ONLY_EEGNET,FULL_SCIENCE,PRIMARY_FULL_EXPERIMENT,True,COMPLETE,0,1,A0_TASK_ONLY_EEGNET,A,full,0.6733333333333333,,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-1\A0_TASK_ONLY_EEGNET.pt,False,16.0,0.6712292002147074,0.6239391729256835,20.0,40142.0,D:\nips-temp\TotalP\P1\CRCICLR_INVARIANCE_RESCUE_V1\experiments\persist_eeg_invariance_rescue_v1\outputs\checkpoints\fold-0\seed-1\A0_TASK_ONLY_EEGNET.pt,31.882975339889526,5600.0,600.0,False,,
