operator_id,operator_family,source_operator_id,channel_definition,electrode_terms,signed_weights,reference_definition,is_legal,legality_residual,rank,condition_number,split,legality_reason,A_hash,B_hash,A_matrix,B_matrix,effective_rank,family,legal,signal_consistency_residual,positive_terms,negative_terms,total_terms,reference_pool_size
source_car64,source,raw_eegmmidb,FC5|FC3|FC1|FCZ|FC2|FC4|FC6|C5|C3|C1|CZ|C2|C4|C6|CP5|CP3|CP1|CPZ|CP2|CP4|CP6|FP1|FPZ|FP2|AF7|AF3|AFZ|AF4|AF8|F7|F5|F3|F1|FZ|F2|F4|F6|F8|FT7|FT8|T7|T8|T9|T10|TP7|TP8|P7|P5|P3|P1|PZ|P2|P4|P6|P8|PO7|PO3|POZ|PO4|PO8|O1|OZ|O2|IZ,4096,True,CAR64 source observation,True,0.0,32,13.345923258702992,matched,linear transformation of audited source observation,f984988efca12fb6d356f649edf79718c35577efe029040f5b719b034a4313c5,f1ef473a9d7128fb108f38771c4caad4517f6d45dd6ccb9c2fc87e445f3bd704,operators/source_car64.npz::A_matrix,operators/source_car64.npz::B_matrix,32,source,True,0.0,64,4032,4096,4032
subset_car_train_anterior,subset_car,eegmmidb_car64,F3-mean(anterior_pool)|C3-mean(anterior_pool)|P3-mean(anterior_pool)|O1-mean(anterior_pool)|F4-mean(anterior_pool)|C4-mean(anterior_pool)|P4-mean(anterior_pool)|O2-mean(anterior_pool)|F7-mean(anterior_pool)|T7-mean(anterior_pool)|P7-mean(anterior_pool)|F8-mean(anterior_pool)|T8-mean(anterior_pool)|P8-mean(anterior_pool),126,True,fixed anterior multi-electrode reference pool,True,0.0,14,2.899567699312407,train,linear transformation of audited source observation,8690668909138c7a47dbd5fa0f087a33b62a277e8f6a85038337e0f35417dbe7,e2252f01c819d940b8f0a6cc37b2a7bef4343dca99abfbde2a4f5c2fd318f69a,operators/subset_car_train_anterior.npz::A_matrix,operators/subset_car_train_anterior.npz::B_matrix,14,subset_car,True,2.8994583560432885e-16,14,112,126,112
local_average_train,local_average,eegmmidb_car64,F3-mean(nearest4)|C3-mean(nearest4)|P3-mean(nearest4)|O1-mean(nearest4)|F4-mean(nearest4)|C4-mean(nearest4)|P4-mean(nearest4)|O2-mean(nearest4)|F7-mean(nearest4)|T7-mean(nearest4)|P7-mean(nearest4)|F8-mean(nearest4)|T8-mean(nearest4)|P8-mean(nearest4),70,True,fixed four-neighbour geometric average,True,0.0,14,6.192993911669185,train,linear transformation of audited source observation,34d8bf8f1832e7e5bb2b028d58424f1a7a7533bd705a56bfcc7052143aec0ef1,9b8ac8d91166f9da69f191700e16e94733700e9d9afcd80de9ff8f570c9acbba,operators/local_average_train.npz::A_matrix,operators/local_average_train.npz::B_matrix,14,local_average,True,4.433947141458613e-16,14,56,70,56
laplacian_train,laplacian,eegmmidb_car64,F3-weighted(nearest4)|C3-weighted(nearest4)|P3-weighted(nearest4)|O1-weighted(nearest4)|F4-weighted(nearest4)|C4-weighted(nearest4)|P4-weighted(nearest4)|O2-weighted(nearest4)|F7-weighted(nearest4)|T7-weighted(nearest4)|P7-weighted(nearest4)|F8-weighted(nearest4)|T8-weighted(nearest4)|P8-weighted(nearest4),483,True,fixed weighted graph Laplacian,True,0.0,14,7.4780013802992045,train,linear transformation of audited source observation,4e655ea388335a9679bd6ade2c578c531342b5569ccaae5d93d571153a194f86,8c038c5636aa0afa33819fbf5ee799567f05df785ba9632f2f8dbcf5234116fe,operators/laplacian_train.npz::A_matrix,operators/laplacian_train.npz::B_matrix,14,laplacian,True,4.304608733709373e-16,14,56,70,56
weighted_reference_train,weighted_reference,eegmmidb_car64,F3-weighted_pool|C3-weighted_pool|P3-weighted_pool|O1-weighted_pool|F4-weighted_pool|C4-weighted_pool|P4-weighted_pool|O2-weighted_pool|F7-weighted_pool|T7-weighted_pool|P7-weighted_pool|F8-weighted_pool|T8-weighted_pool|P8-weighted_pool,896,True,fixed six-electrode weighted reference,True,0.0,14,3.3040701005996214,train,linear transformation of audited source observation,6c36d982747932d1ff2845708fc702cc33e023468c1c6f00135f82d6e418cb3a,2125d52ebbe19b14aa6ae27cb2dcb1800ee8f5fb5444f9458daaaf166be6fbeb,operators/weighted_reference_train.npz::A_matrix,operators/weighted_reference_train.npz::B_matrix,14,weighted_reference,True,2.640194237665807e-16,14,84,98,84
subset_car_validation_central,subset_car,eegmmidb_car64,FC3-mean(central_pool)|CP3-mean(central_pool)|PO3-mean(central_pool)|FC4-mean(central_pool)|CP4-mean(central_pool)|PO4-mean(central_pool)|C5-mean(central_pool)|P5-mean(central_pool)|C6-mean(central_pool)|P6-mean(central_pool)|AF3-mean(central_pool)|AF4-mean(central_pool),768,True,fixed central multi-electrode reference pool,True,0.0,12,3.1718806836374527,validation,linear transformation of audited source observation,f29bdbaac82489fae199f92c4f918fe2e7a186e2e24b989826d4a078a96ab088,5e4890d69febf659d5d43bccb93cd02d89d98b3239b3d91e391fcae70bba92ab,operators/subset_car_validation_central.npz::A_matrix,operators/subset_car_validation_central.npz::B_matrix,12,subset_car,True,3.025040910402604e-16,12,164,176,164
local_average_validation,local_average,eegmmidb_car64,FC3-mean(nearest4)|CP3-mean(nearest4)|PO3-mean(nearest4)|FC4-mean(nearest4)|CP4-mean(nearest4)|PO4-mean(nearest4)|C5-mean(nearest4)|P5-mean(nearest4)|C6-mean(nearest4)|P6-mean(nearest4)|AF3-mean(nearest4)|AF4-mean(nearest4),60,True,fixed four-neighbour geometric average,True,0.0,12,4.938560480527808,validation,linear transformation of audited source observation,2c24a3ee98cf1007b79cb8590b33916dd12fb268480ccfaa9f17cd5941318f8d,4ac74b689e8924981ebd0d8adaf74e1443873aed187dbada9a444c5146ad9e54,operators/local_average_validation.npz::A_matrix,operators/local_average_validation.npz::B_matrix,12,local_average,True,4.702861544369799e-16,12,48,60,48
laplacian_validation,laplacian,eegmmidb_car64,FC3-weighted(nearest4)|CP3-weighted(nearest4)|PO3-weighted(nearest4)|FC4-weighted(nearest4)|CP4-weighted(nearest4)|PO4-weighted(nearest4)|C5-weighted(nearest4)|P5-weighted(nearest4)|C6-weighted(nearest4)|P6-weighted(nearest4)|AF3-weighted(nearest4)|AF4-weighted(nearest4),473,True,fixed weighted graph Laplacian,True,0.0,12,4.266284602660305,validation,linear transformation of audited source observation,b6728b00f3099a4193dfb7cc2c7f9401f15dcb1de9cecc98bd47ab30a159aef3,eb2ae43855f6e0961876ed0e9b47d93925c33ed044ad79c44662011a109f5be1,operators/laplacian_validation.npz::A_matrix,operators/laplacian_validation.npz::B_matrix,12,laplacian,True,5.041744411229812e-16,12,48,60,48
weighted_reference_validation,weighted_reference,eegmmidb_car64,FC3-weighted_pool|CP3-weighted_pool|PO3-weighted_pool|FC4-weighted_pool|CP4-weighted_pool|PO4-weighted_pool|C5-weighted_pool|P5-weighted_pool|C6-weighted_pool|P6-weighted_pool|AF3-weighted_pool|AF4-weighted_pool,768,True,fixed six-electrode weighted reference,True,0.0,12,4.065937088058892,validation,linear transformation of audited source observation,1aac3ec50cc74d17b70e6b4c9fcfd7f2b0e9ce100323aca1adb5ec05aa173d21,9a0a4e97f797764ce12bd41c73698d3c521e1a297eb1ccbeae576bea67922578,operators/weighted_reference_validation.npz::A_matrix,operators/weighted_reference_validation.npz::B_matrix,12,weighted_reference,True,2.8613828473376986e-16,12,70,82,70
subset_car_test_posterior,subset_car,eegmmidb_car64,F1-mean(posterior_pool)|F2-mean(posterior_pool)|C1-mean(posterior_pool)|C2-mean(posterior_pool)|P1-mean(posterior_pool)|P2-mean(posterior_pool)|PO7-mean(posterior_pool)|PO8-mean(posterior_pool)|T9-mean(posterior_pool)|T10-mean(posterior_pool)|FC1-mean(posterior_pool)|FC2-mean(posterior_pool),202,True,fixed posterior multi-electrode reference pool,True,0.0,12,4.140043695804493,test,linear transformation of audited source observation,1ac189b457bbcdcbafc2f32ecf2b02436367d228019f55cb4f1cbc5c23d40909,762925f605357c3a139f936a5b7ecf14d333969d0dd8e7b36b66699eaf73d5fa,operators/subset_car_test_posterior.npz::A_matrix,operators/subset_car_test_posterior.npz::B_matrix,12,subset_car,True,3.10271838392016e-16,12,190,202,190
